,Genes,genes,E.genes,mean.all,mean.cl,log2.fc,p.adj
ENSG00000100097,LGALS1,LGALS1,ENSG00000100097,155.3956387,228.49703,0.556229399,0.000121166
ENSG00000100129,EIF3L,EIF3L,ENSG00000100129,75.06487284,124.8167656,0.733601882,0.000525098
ENSG00000100219,XBP1,XBP1,ENSG00000100219,203.2783518,591.6195677,1.541213187,0
ENSG00000100316,RPL3,RPL3,ENSG00000100316,166.187797,432.1764208,1.378805911,0
ENSG00000100353,EIF3D,EIF3D,ENSG00000100353,39.99024073,82.41803828,1.043312159,1.13E-05
ENSG00000100401,RANGAP1,RANGAP1,ENSG00000100401,37.32604507,74.76924468,1.002262305,0.000231162
ENSG00000100412,ACO2,ACO2,ENSG00000100412,54.79100725,169.6377878,1.630446543,0
ENSG00000100413,POLR3H,POLR3H,ENSG00000100413,44.99827514,154.6801592,1.781346548,0
ENSG00000100441,KHNYN,KHNYN,ENSG00000100441,25.53949851,52.6376737,1.043365534,0.008163655
ENSG00000100442,FKBP3,FKBP3,ENSG00000100442,37.48453497,71.51658939,0.931982432,0.002175863
ENSG00000100462,PRMT5,PRMT5,ENSG00000100462,24.68067245,56.9986908,1.20754708,0.000113408
ENSG00000100526,CDKN3,CDKN3,ENSG00000100526,22.82569446,48.4889422,1.086997027,0.008031866
ENSG00000100567,PSMA3,PSMA3,ENSG00000100567,57.1094915,112.0002072,0.971698958,2.72E-07
ENSG00000100591,AHSA1,AHSA1,ENSG00000100591,31.25164009,69.34750792,1.149912134,1.04E-05
ENSG00000100632,ERH,ERH,ENSG00000100632,34.33021562,69.57414215,1.019072296,0.000372602
ENSG00000100650,SRSF5,SRSF5,ENSG00000100650,196.4683427,276.2815222,0.49184221,0.00021433
ENSG00000100664,EIF5,EIF5,ENSG00000100664,138.1743049,222.5873342,0.687882146,1.25E-07
ENSG00000100804,PSMB5,PSMB5,ENSG00000100804,51.73084335,148.3679783,1.520083138,0
ENSG00000100823,APEX1,APEX1,ENSG00000100823,53.03070679,98.72960383,0.896654761,6.76E-05
ENSG00000100836,PABPN1,PABPN1,ENSG00000100836,142.8956626,377.8137024,1.4027129,0
ENSG00000100883,SRP54,SRP54,ENSG00000100883,34.72809923,77.45384766,1.157233459,1.16E-06
ENSG00000100897,DCAF11,DCAF11,ENSG00000100897,52.88284451,120.2723474,1.185433297,4.68E-12
ENSG00000100902,PSMA6,PSMA6,ENSG00000100902,78.2571953,158.1420779,1.014925975,4.68E-12
ENSG00000100968,NFATC4,NFATC4,ENSG00000100968,38.06024075,77.40862921,1.024209714,5.68E-05
ENSG00000100983,GSS,GSS,ENSG00000100983,102.6674681,335.5706055,1.708637235,0
ENSG00000100991,TRPC4AP,TRPC4AP,ENSG00000100991,36.09824371,71.1808418,0.979560347,0.000556512
ENSG00000100997,ABHD12,ABHD12,ENSG00000100997,44.14387434,83.68758347,0.922800334,0.00037114
ENSG00000101144,BMP7,BMP7,ENSG00000101144,19.91468802,50.15405364,1.332533431,2.54E-05
ENSG00000101146,RAE1,RAE1,ENSG00000101146,38.68675411,113.2003573,1.548966917,0
ENSG00000101150,TPD52L2,TPD52L2,ENSG00000101150,40.39736947,94.55599013,1.226907503,1.15E-09
ENSG00000101161,PRPF6,PRPF6,ENSG00000101161,57.46193557,105.3030796,0.873869134,3.87E-05
ENSG00000101182,PSMA7,PSMA7,ENSG00000101182,194.846746,351.0317198,0.849261562,0
ENSG00000101224,CDC25B,CDC25B,ENSG00000101224,69.93773255,231.383156,1.726140916,0
ENSG00000101255,TRIB3,TRIB3,ENSG00000101255,26.15371153,66.67498527,1.350129904,1.10E-07
ENSG00000101294,HM13,HM13,ENSG00000101294,57.55204026,138.6900695,1.268925513,0
ENSG00000101350,KIF3B,KIF3B,ENSG00000101350,28.94240489,65.01682511,1.167628305,1.51E-05
ENSG00000101365,IDH3B,IDH3B,ENSG00000101365,44.51043715,98.27700992,1.142710294,8.50E-09
ENSG00000101367,MAPRE1,MAPRE1,ENSG00000101367,48.60326628,91.52390461,0.913095332,0.000116341
ENSG00000101444,AHCY,AHCY,ENSG00000101444,34.75588103,93.73263538,1.43129433,6.69E-13
ENSG00000101557,USP14,USP14,ENSG00000101557,29.26446331,59.84908145,1.032179284,0.002564316
ENSG00000102054,RBBP7,RBBP7,ENSG00000102054,57.7118672,151.4682873,1.392075857,0
ENSG00000102241,HTATSF1,HTATSF1,ENSG00000102241,32.30905358,64.57033631,0.998933051,0.001676458
ENSG00000102554,KLF5,KLF5,ENSG00000102554,25.94021517,61.23155702,1.239084922,8.12E-06
ENSG00000102580,DNAJC3,DNAJC3,ENSG00000102580,42.91420871,78.18401658,0.865418306,0.003114651
ENSG00000103035,PSMD7,PSMD7,ENSG00000103035,71.00922157,114.5099046,0.689394094,0.006004387
ENSG00000103202,NME4,NME4,ENSG00000103202,35.29939222,68.23270165,0.950819997,0.002046283
ENSG00000103260,METRN,METRN,ENSG00000103260,29.16992396,63.60943418,1.124759128,0.000104326
ENSG00000103275,UBE2I,UBE2I,ENSG00000103275,57.51307431,102.6214345,0.835370234,0.00025455
ENSG00000103342,GSPT1,GSPT1,ENSG00000103342,71.42057046,146.4252244,1.035752543,2.07E-11
ENSG00000103534,TMC5,TMC5,ENSG00000103534,24.19506438,55.36867186,1.194357138,0.000139622
ENSG00000103855,CD276,CD276,ENSG00000103855,20.7998048,48.68247625,1.226832564,0.000598396
ENSG00000103978,TMEM87A,TMEM87A,ENSG00000103978,53.32988368,145.4113767,1.447124061,0
ENSG00000104067,TJP1,TJP1,ENSG00000104067,21.44798828,48.79253234,1.185818025,0.001438327
ENSG00000104140,RHOV,RHOV,ENSG00000104140,33.94548448,91.91121073,1.437021167,1.34E-12
ENSG00000104341,LAPTM4B,LAPTM4B,ENSG00000104341,90.88691482,189.6361287,1.06108934,0
ENSG00000104375,STK3,STK3,ENSG00000104375,27.59899403,56.02620006,1.021485964,0.003907389
ENSG00000104388,RAB2A,RAB2A,ENSG00000104388,57.18819611,97.96194999,0.776504093,0.003560936
ENSG00000104408,EIF3E,EIF3E,ENSG00000104408,45.13788678,92.23352278,1.030952324,1.84E-06
ENSG00000104413,ESRP1,ESRP1,ENSG00000104413,31.5610069,93.39548375,1.565209555,0
ENSG00000104419,NDRG1,NDRG1,ENSG00000104419,32.11097214,77.23348418,1.266160114,3.33E-08
