,Genes,genes,E.genes,mean.all,mean.cl,log2.fc,p.adj
ENSG00000125968,ID1,ID1,ENSG00000125968,33.07463531,85.94959055,1.377765518,8.16E-11
ENSG00000125991,ERGIC3,ERGIC3,ENSG00000125991,61.24005463,161.5194895,1.399160781,0
ENSG00000125995,ROMO1,ROMO1,ENSG00000125995,84.96537426,182.2635364,1.101079037,0
ENSG00000126067,PSMB2,PSMB2,ENSG00000126067,48.40067485,93.8885356,0.955921843,2.53E-05
ENSG00000126214,KLC1,KLC1,ENSG00000126214,50.4686037,117.0381541,1.213520844,2.68E-12
ENSG00000126267,COX6B1,COX6B1,ENSG00000126267,158.0727195,279.0253811,0.819807955,0
ENSG00000126457,PRMT1,PRMT1,ENSG00000126457,30.76615764,61.60580837,1.001722101,0.002925581
ENSG00000126524,SBDS,SBDS,ENSG00000126524,34.21571276,67.02443469,0.970028145,0.001395863
ENSG00000126602,TRAP1,TRAP1,ENSG00000126602,25.61917818,52.84849091,1.044638079,0.00891526
ENSG00000126709,IFI6,IFI6,ENSG00000126709,153.84032,554.4435314,1.849606864,0
ENSG00000126777,KTN1,KTN1,ENSG00000126777,116.3580435,199.761046,0.779704337,7.55E-09
ENSG00000126803,HSPA2,HSPA2,ENSG00000126803,25.21058429,62.66078716,1.313533339,1.12E-06
ENSG00000126878,AIF1L,AIF1L,ENSG00000126878,22.32474484,52.66662649,1.238245366,0.000146913
ENSG00000127022,CANX,CANX,ENSG00000127022,137.3404059,338.6593103,1.302078526,0
ENSG00000127564,PKMYT1,PKMYT1,ENSG00000127564,21.09550097,48.19835798,1.192048649,0.000897849
ENSG00000127616,SMARCA4,SMARCA4,ENSG00000127616,44.13246788,80.2733653,0.863080956,0.002537347
ENSG00000127837,AAMP,AAMP,ENSG00000127837,39.87483873,104.0730079,1.384045355,0
ENSG00000127884,ECHS1,ECHS1,ENSG00000127884,58.23312236,144.6010779,1.312166426,0
ENSG00000128039,SRD5A3,SRD5A3,ENSG00000128039,28.75460025,76.47748062,1.411242216,4.44E-10
ENSG00000128050,PAICS,PAICS,ENSG00000128050,26.08446067,58.94200599,1.176105557,0.000131746
ENSG00000128567,PODXL,PODXL,ENSG00000128567,22.7301579,51.45970429,1.17883546,0.000608119
ENSG00000128595,CALU,CALU,ENSG00000128595,54.98988913,125.1515025,1.186437328,1.34E-12
ENSG00000128626,MRPS12,MRPS12,ENSG00000128626,28.38026193,72.0661141,1.344433151,1.21E-08
ENSG00000128641,MYO1B,MYO1B,ENSG00000128641,20.12205459,46.84599837,1.219148196,0.001357156
ENSG00000128833,MYO5C,MYO5C,ENSG00000128833,23.23599626,50.77250712,1.127685998,0.002657142
ENSG00000128951,DUT,DUT,ENSG00000128951,44.45810756,104.0545091,1.22682104,5.09E-11
ENSG00000129055,ANAPC13,ANAPC13,ENSG00000129055,23.23269449,50.81961643,1.129229001,0.002646388
ENSG00000129083,COPB1,COPB1,ENSG00000129083,38.34423836,85.07641078,1.149749357,1.55E-07
ENSG00000129103,SUMF2,SUMF2,ENSG00000129103,31.1413399,68.11611307,1.129165093,2.06E-05
ENSG00000129116,PALLD,PALLD,ENSG00000129116,26.64769089,59.4168341,1.156861212,0.000117931
ENSG00000129197,RPAIN,RPAIN,ENSG00000129197,34.81306704,70.47465877,1.017475666,0.00029969
ENSG00000129235,TXNDC17,TXNDC17,ENSG00000129235,54.58710239,92.78673277,0.765358417,0.00847924
ENSG00000129351,ILF3,ILF3,ENSG00000129351,62.33107722,131.5087354,1.077135082,6.83E-11
ENSG00000129514,FOXA1,FOXA1,ENSG00000129514,52.45497279,130.2239397,1.311843237,0
ENSG00000129625,REEP5,REEP5,ENSG00000129625,90.27183991,218.1721681,1.273119153,0
ENSG00000130147,SH3BP4,SH3BP4,ENSG00000130147,38.02591086,106.3298319,1.483491705,0
ENSG00000130255,RPL36,RPL36,ENSG00000130255,135.4210471,251.2918129,0.89191169,0
ENSG00000130303,BST2,BST2,ENSG00000130303,82.34294248,191.6667195,1.218882944,0
ENSG00000130348,QRSL1,QRSL1,ENSG00000130348,21.03943125,47.13638098,1.163745291,0.001965214
ENSG00000130402,ACTN4,ACTN4,ENSG00000130402,118.7717606,248.1698008,1.063135709,0
ENSG00000130414,NDUFA10,NDUFA10,ENSG00000130414,55.22912266,100.1385458,0.858496296,0.000129258
ENSG00000130508,PXDN,PXDN,ENSG00000130508,25.85577177,69.1270193,1.418763351,3.51E-09
ENSG00000130513,GDF15,GDF15,ENSG00000130513,46.48014769,124.2357856,1.418394238,0
ENSG00000130520,LSM4,LSM4,ENSG00000130520,36.57803101,72.83509689,0.993656389,0.000446433
ENSG00000130638,ATXN10,ATXN10,ENSG00000130638,33.62179073,73.59094667,1.130131727,7.64E-06
ENSG00000130706,ADRM1,ADRM1,ENSG00000130706,40.21153636,74.40887424,0.887865234,0.003700723
ENSG00000130707,ASS1,ASS1,ENSG00000130707,28.02476948,83.02895954,1.566912113,0
ENSG00000130723,PRRC2B,PRRC2B,ENSG00000130723,48.11396799,90.88966944,0.917660542,0.000143139
ENSG00000130724,CHMP2A,CHMP2A,ENSG00000130724,72.89927885,141.375725,0.955557975,3.17E-09
ENSG00000130726,TRIM28,TRIM28,ENSG00000130726,45.5395464,92.58883522,1.023718316,2.83E-06
ENSG00000130741,EIF2S3,EIF2S3,ENSG00000130741,39.36508687,78.00985628,0.986739753,0.000108433
ENSG00000131143,COX4I1,COX4I1,ENSG00000131143,220.1431548,303.8205914,0.464777666,0.000309657
ENSG00000131187,F12,F12,ENSG00000131187,22.98102718,49.72478916,1.113521971,0.004362218
ENSG00000131238,PPT1,PPT1,ENSG00000131238,56.42576822,100.9258929,0.83887029,0.000348967
ENSG00000131446,MGAT1,MGAT1,ENSG00000131446,50.39917894,89.04738198,0.821172965,0.001911929
ENSG00000131462,TUBG1,TUBG1,ENSG00000131462,24.35873418,64.07871358,1.395406021,4.12E-08
ENSG00000131467,PSME3,PSME3,ENSG00000131467,32.89606191,79.04808068,1.264815549,1.71E-08
ENSG00000131475,VPS25,VPS25,ENSG00000131475,30.67958944,68.2365405,1.153265329,1.15E-05
ENSG00000131495,NDUFA2,NDUFA2,ENSG00000131495,61.70172176,123.4998942,1.001127153,1.24E-08
ENSG00000131503,ANKHD1,ANKHD1,ENSG00000131503,38.86358619,92.00037914,1.243220773,7.84E-10
ENSG00000131620,ANO1,ANO1,ENSG00000131620,19.6756891,44.33010977,1.17187277,0.004183747
ENSG00000131724,IL13RA1,IL13RA1,ENSG00000131724,33.31817403,67.14682285,1.011009801,0.000548345
ENSG00000131747,TOP2A,TOP2A,ENSG00000131747,43.17963479,117.2236617,1.440840862,0
ENSG00000131828,PDHA1,PDHA1,ENSG00000131828,31.91057296,67.35256172,1.077698306,0.000114679
ENSG00000131941,RHPN2,RHPN2,ENSG00000131941,18.93552035,42.78077155,1.175867435,0.008659174
ENSG00000131981,LGALS3,LGALS3,ENSG00000131981,110.1161787,297.1038122,1.431940666,0
ENSG00000132002,DNAJB1,DNAJB1,ENSG00000132002,64.76402038,120.9984211,0.90172377,1.74E-06
ENSG00000132153,DHX30,DHX30,ENSG00000132153,26.27128595,54.76888689,1.059869739,0.004052444
ENSG00000132199,ENOSF1,ENOSF1,ENSG00000132199,38.53958408,106.9750368,1.472861267,0
ENSG00000132254,ARFIP2,ARFIP2,ENSG00000132254,31.81685588,81.85665961,1.363308518,5.13E-10
ENSG00000132305,IMMT,IMMT,ENSG00000132305,39.84451834,74.06377882,0.894386902,0.002659607
ENSG00000132341,RAN,RAN,ENSG00000132341,93.92717264,237.5595888,1.338674953,0
ENSG00000132432,SEC61G,SEC61G,ENSG00000132432,45.45800187,82.87327058,0.866372588,0.002263775
ENSG00000132470,ITGB4,ITGB4,ENSG00000132470,35.20383546,105.4086422,1.58218863,0
ENSG00000132507,EIF5A,EIF5A,ENSG00000132507,42.79351511,77.91058244,0.864427112,0.005249068
ENSG00000132549,VPS13B,VPS13B,ENSG00000132549,44.36539406,114.1015894,1.3628122,0
ENSG00000132581,SDF2,SDF2,ENSG00000132581,25.53490891,53.84077542,1.076228275,0.003782898
ENSG00000132591,ERAL1,ERAL1,ENSG00000132591,19.47397407,43.25345952,1.151268202,0.007500527
ENSG00000132646,PCNA,PCNA,ENSG00000132646,35.99486154,99.58511911,1.468139209,0
ENSG00000132676,DAP3,DAP3,ENSG00000132676,30.55366721,68.98974184,1.175036312,9.82E-06
ENSG00000132698,RAB25,RAB25,ENSG00000132698,30.86106516,87.13817825,1.497517095,0
ENSG00000132746,ALDH3B2,ALDH3B2,ENSG00000132746,37.80451991,91.29930145,1.272045088,4.22E-10
ENSG00000133112,TPT1,TPT1,ENSG00000133112,620.9832399,833.1874412,0.424086762,1.34E-12
ENSG00000133142,TCEAL4,TCEAL4,ENSG00000133142,73.70469199,136.4410487,0.888449381,1.75E-07
ENSG00000133195,SLC39A11,SLC39A11,ENSG00000133195,23.30277953,54.38074093,1.22259376,9.85E-05
ENSG00000133789,SWAP70,SWAP70,ENSG00000133789,37.43699499,71.78336557,0.939184929,0.002079901
ENSG00000133983,COX16,COX16,ENSG00000133983,29.39049751,60.54355572,1.042623626,0.001395236
ENSG00000134001,EIF2S1,EIF2S1,ENSG00000134001,28.12620769,64.46469453,1.19659421,1.20E-05
ENSG00000134057,CCNB1,CCNB1,ENSG00000134057,44.53559722,135.1271346,1.601286563,0
ENSG00000134107,BHLHE40,BHLHE40,ENSG00000134107,42.33145963,79.5330652,0.909824538,0.000974761
ENSG00000134240,HMGCS2,HMGCS2,ENSG00000134240,76.18365649,211.894772,1.475794555,0
ENSG00000134250,NOTCH2,NOTCH2,ENSG00000134250,37.35856529,83.91002922,1.167404206,2.31E-07
ENSG00000134291,TMEM106C,TMEM106C,ENSG00000134291,55.65573505,105.9686436,0.929035167,7.72E-06
ENSG00000134308,YWHAQ,YWHAQ,ENSG00000134308,103.0644364,228.6860665,1.149821868,0
ENSG00000134333,LDHA,LDHA,ENSG00000134333,105.4433491,302.5657449,1.520780562,0
ENSG00000134375,TIMM17A,TIMM17A,ENSG00000134375,42.06417466,95.19257762,1.17825705,4.51E-09
ENSG00000134419,RPS15A,RPS15A,ENSG00000134419,251.4573212,435.0405187,0.790836218,0
ENSG00000134531,EMP1,EMP1,ENSG00000134531,31.11049938,88.55246424,1.509130902,0
ENSG00000134755,DSC2,DSC2,ENSG00000134755,22.96389439,55.35973105,1.269469608,2.48E-05
ENSG00000134759,ELP2,ELP2,ENSG00000134759,34.16702779,66.3860911,0.958276254,0.002680426
ENSG00000134802,SLC43A3,SLC43A3,ENSG00000134802,24.1643817,50.03842596,1.050154327,0.007989191
ENSG00000134809,TIMM10,TIMM10,ENSG00000134809,39.4222534,78.73657627,0.998023737,0.000115003
ENSG00000134910,STT3A,STT3A,ENSG00000134910,26.36986183,56.94996233,1.110804876,0.000958331
ENSG00000134970,TMED7,TMED7,ENSG00000134970,38.80601717,96.7081067,1.31735646,1.87E-11
ENSG00000135018,UBQLN1,UBQLN1,ENSG00000135018,68.9837176,164.3811217,1.252716839,0
ENSG00000135046,ANXA1,ANXA1,ENSG00000135046,117.3663111,234.6574278,0.999537772,0
ENSG00000135052,GOLM1,GOLM1,ENSG00000135052,39.12655591,88.5090141,1.177676269,3.50E-08
ENSG00000135111,TBX3,TBX3,ENSG00000135111,23.75087971,56.91711539,1.260881596,3.14E-05
ENSG00000135245,HILPDA,HILPDA,ENSG00000135245,23.7684228,57.96822609,1.286216164,1.30E-05
ENSG00000135318,NT5E,NT5E,ENSG00000135318,21.5331595,55.79374393,1.373543346,2.71E-06
ENSG00000135373,EHF,EHF,ENSG00000135373,35.78271178,104.5471567,1.546819195,0
ENSG00000135387,CAPRIN1,CAPRIN1,ENSG00000135387,45.3011873,101.691209,1.166574199,1.97E-09
ENSG00000135404,CD63,CD63,ENSG00000135404,308.5331981,518.7787613,0.749693686,0
ENSG00000135446,CDK4,CDK4,ENSG00000135446,33.98345141,95.57374405,1.491781954,0
ENSG00000135480,KRT7,KRT7,ENSG00000135480,193.8161283,670.1754512,1.789850212,0
ENSG00000135486,HNRNPA1,HNRNPA1,ENSG00000135486,112.8600769,180.177706,0.674885275,1.34E-05
ENSG00000135506,OS9,OS9,ENSG00000135506,61.23306695,115.9922561,0.921645642,1.83E-06
ENSG00000135525,MAP7,MAP7,ENSG00000135525,27.61443852,63.89580908,1.210298514,1.42E-05
ENSG00000135535,CD164,CD164,ENSG00000135535,96.68622355,224.86302,1.217664176,0
ENSG00000135624,CCT7,CCT7,ENSG00000135624,51.44874306,138.6398198,1.430133948,0
ENSG00000135677,GNS,GNS,ENSG00000135677,45.70476065,94.47322688,1.047561091,7.75E-07
ENSG00000135698,MPHOSPH6,MPHOSPH6,ENSG00000135698,35.95103523,75.29781603,1.066574707,2.48E-05
ENSG00000135829,DHX9,DHX9,ENSG00000135829,55.2564082,113.8899692,1.043426996,1.94E-08
ENSG00000135845,PIGC,PIGC,ENSG00000135845,53.30395959,175.7923339,1.721557548,0
ENSG00000135929,CYP27A1,CYP27A1,ENSG00000135929,30.32144844,83.25921489,1.457271283,5.35E-12
ENSG00000135940,COX5B,COX5B,ENSG00000135940,135.2423982,237.8363669,0.814421827,5.35E-12
ENSG00000136026,CKAP4,CKAP4,ENSG00000136026,71.67377305,188.1847578,1.392632573,0
ENSG00000136045,PWP1,PWP1,ENSG00000136045,44.78777576,134.408474,1.585447172,0
ENSG00000136068,FLNB,FLNB,ENSG00000136068,41.2526252,106.6283982,1.370033884,0
ENSG00000136153,LMO7,LMO7,ENSG00000136153,24.10083585,63.28170405,1.392705267,7.22E-08
ENSG00000136193,SCRN1,SCRN1,ENSG00000136193,21.97763009,57.66596839,1.391684338,7.92E-07
ENSG00000136240,KDELR2,KDELR2,ENSG00000136240,77.70883186,208.7570274,1.425674284,0
ENSG00000136261,BZW2,BZW2,ENSG00000136261,34.08036318,74.67617347,1.131707294,5.98E-06
ENSG00000136436,CALCOCO2,CALCOCO2,ENSG00000136436,40.97771604,81.68834131,0.995290614,6.70E-05
ENSG00000136450,SRSF1,SRSF1,ENSG00000136450,41.28183418,94.0924551,1.188571971,3.76E-09
ENSG00000136485,DCAF7,DCAF7,ENSG00000136485,47.67253203,95.14987755,0.997043547,3.04E-06
ENSG00000136518,ACTL6A,ACTL6A,ENSG00000136518,29.16486844,81.75742344,1.487118165,5.35E-12
ENSG00000136521,NDUFB5,NDUFB5,ENSG00000136521,32.67077649,65.99669035,1.014392933,0.001187736
ENSG00000136522,MRPL47,MRPL47,ENSG00000136522,24.44294875,56.10424252,1.19869153,8.23E-05
ENSG00000136636,KCTD3,KCTD3,ENSG00000136636,22.90256443,52.4178575,1.194549239,0.000325069
ENSG00000136699,SMPD4,SMPD4,ENSG00000136699,20.48983145,46.10113914,1.169894283,0.002229063
ENSG00000136718,IMP4,IMP4,ENSG00000136718,26.80402925,55.23214308,1.04305822,0.003442211
ENSG00000136770,DNAJC1,DNAJC1,ENSG00000136770,55.15779577,115.2650363,1.063318253,3.93E-09
ENSG00000136802,LRRC8A,LRRC8A,ENSG00000136802,23.88770118,53.3491436,1.159197088,0.000509098
ENSG00000136810,TXN,TXN,ENSG00000136810,98.62700968,196.3687267,0.99351049,0
ENSG00000136827,TOR1A,TOR1A,ENSG00000136827,27.06500084,55.43548165,1.034381241,0.004599687
ENSG00000136888,ATP6V1G1,ATP6V1G1,ENSG00000136888,81.90647268,157.5649372,0.943897158,3.59E-10
ENSG00000136930,PSMB7,PSMB7,ENSG00000136930,54.82495518,146.1242393,1.414290881,0
ENSG00000136950,ARPC5L,ARPC5L,ENSG00000136950,38.7698739,88.60692355,1.19248339,2.20E-08
ENSG00000136986,DERL1,DERL1,ENSG00000136986,42.3547157,90.10563953,1.089094799,3.69E-07
ENSG00000137100,DCTN3,DCTN3,ENSG00000137100,34.89129248,82.30207481,1.23806176,2.02E-08
ENSG00000137106,GRHPR,GRHPR,ENSG00000137106,27.96867634,63.39806572,1.180626847,2.28E-05
ENSG00000137154,RPS6,RPS6,ENSG00000137154,395.5067144,610.7912368,0.626977176,0
ENSG00000137203,TFAP2A,TFAP2A,ENSG00000137203,29.43405075,62.52840721,1.087025666,0.000316248
ENSG00000137210,TMEM14B,TMEM14B,ENSG00000137210,26.45542029,55.62176673,1.072086232,0.002317966
ENSG00000137309,HMGA1,HMGA1,ENSG00000137309,84.4592246,191.5493384,1.181389135,0
ENSG00000137409,MTCH1,MTCH1,ENSG00000137409,79.62049038,181.0083395,1.184844505,0
ENSG00000137547,MRPL15,MRPL15,ENSG00000137547,27.09282217,54.92096743,1.019446356,0.009953688
ENSG00000137804,NUSAP1,NUSAP1,ENSG00000137804,31.30376062,73.9782088,1.240764387,3.72E-07
ENSG00000137807,KIF23,KIF23,ENSG00000137807,23.53065698,54.0198051,1.198946833,0.000134809
ENSG00000137818,RPLP1,RPLP1,ENSG00000137818,603.7634549,834.2566134,0.466507783,0
ENSG00000137962,ARHGAP29,ARHGAP29,ENSG00000137962,24.61612138,64.38642463,1.387153077,6.34E-08
ENSG00000138029,HADHB,HADHB,ENSG00000138029,40.60757733,101.4051184,1.32030961,2.68E-12
ENSG00000138074,SLC5A6,SLC5A6,ENSG00000138074,39.68068157,105.4215579,1.409661206,0
ENSG00000138095,LRPPRC,LRPPRC,ENSG00000138095,38.73082612,108.5742875,1.487128307,0
ENSG00000138119,MYOF,MYOF,ENSG00000138119,27.23120835,62.94595566,1.208852685,2.01E-05
ENSG00000138166,DUSP5,DUSP5,ENSG00000138166,68.58925858,129.3409672,0.915124737,1.63E-07
ENSG00000138326,RPS24,RPS24,ENSG00000138326,338.2014221,538.6980541,0.671594128,0
ENSG00000138363,ATIC,ATIC,ENSG00000138363,36.62217826,98.91290329,1.43344113,0
ENSG00000138382,METTL5,METTL5,ENSG00000138382,25.361966,56.90380432,1.165858523,0.000276354
ENSG00000138413,IDH1,IDH1,ENSG00000138413,28.8643554,66.82338625,1.211064085,5.79E-06
ENSG00000138448,ITGAV,ITGAV,ENSG00000138448,29.31801901,58.11632698,0.9871559,0.005641707
ENSG00000138496,PARP9,PARP9,ENSG00000138496,36.28642593,85.94312035,1.243952194,1.01E-08
ENSG00000138674,SEC31A,SEC31A,ENSG00000138674,44.04731164,103.8466581,1.237328915,6.89E-11
ENSG00000138760,SCARB2,SCARB2,ENSG00000138760,43.63583859,113.449117,1.378459952,0
ENSG00000138777,PPA2,PPA2,ENSG00000138777,34.25029147,86.87798421,1.342874364,2.03E-10
ENSG00000138796,HADH,HADH,ENSG00000138796,39.84374523,86.30303118,1.115057967,4.38E-07
ENSG00000139116,KIF21A,KIF21A,ENSG00000139116,26.9465943,56.62019723,1.071213828,0.001880388
ENSG00000139168,ZCRB1,ZCRB1,ENSG00000139168,47.33923257,103.3749,1.12677771,4.87E-09
ENSG00000139180,NDUFA9,NDUFA9,ENSG00000139180,31.39579407,66.45903829,1.081894115,0.000137326
ENSG00000139289,PHLDA1,PHLDA1,ENSG00000139289,44.92712613,87.24936652,0.957557877,5.26E-05
ENSG00000139343,SNRPF,SNRPF,ENSG00000139343,44.48380826,94.78702478,1.091409282,1.96E-07
ENSG00000139629,GALNT6,GALNT6,ENSG00000139629,60.51971301,152.4659047,1.333009604,0
ENSG00000139631,CSAD,CSAD,ENSG00000139631,26.9868478,54.86238368,1.023560833,0.00888973
ENSG00000139641,ESYT1,ESYT1,ENSG00000139641,31.45772375,65.69618029,1.062395209,0.000318124
ENSG00000139644,TMBIM6,TMBIM6,ENSG00000139644,318.470636,702.1833244,1.140687378,0
ENSG00000139645,ANKRD52,ANKRD52,ENSG00000139645,26.58153516,59.57295868,1.164233185,0.000108339
ENSG00000139684,ESD,ESD,ENSG00000139684,26.16953547,55.8612557,1.093959689,0.001664038
ENSG00000139726,DENR,DENR,ENSG00000139726,33.05429016,64.00990469,0.953457627,0.003578626
ENSG00000139842,CUL4A,CUL4A,ENSG00000139842,30.78373684,60.80801111,0.982093032,0.006089546
ENSG00000140319,SRP14,SRP14,ENSG00000140319,114.0364101,190.619597,0.741201918,1.85E-07
ENSG00000140365,COMMD4,COMMD4,ENSG00000140365,36.52487007,95.23759607,1.382652064,1.34E-12
ENSG00000140391,TSPAN3,TSPAN3,ENSG00000140391,29.9586378,81.49454999,1.443731554,2.28E-11
ENSG00000140395,WDR61,WDR61,ENSG00000140395,27.79816674,65.66224976,1.240074439,3.21E-06
ENSG00000140403,DNAJA4,DNAJA4,ENSG00000140403,25.20202634,57.38468299,1.187125971,9.66E-05
ENSG00000140525,FANCI,FANCI,ENSG00000140525,29.22471272,74.57214581,1.351448012,6.80E-09
ENSG00000140575,IQGAP1,IQGAP1,ENSG00000140575,78.17286092,160.4442722,1.037332544,1.34E-12
ENSG00000140612,SEC11A,SEC11A,ENSG00000140612,50.13757721,88.36178372,0.817530259,0.002810025
ENSG00000140740,UQCRC2,UQCRC2,ENSG00000140740,45.34426581,105.3791332,1.216597192,7.16E-11
ENSG00000140943,MBTPS1,MBTPS1,ENSG00000140943,25.01554088,53.36036563,1.092943906,0.002061759
ENSG00000140988,RPS2,RPS2,ENSG00000140988,316.6725066,591.7220485,0.901928035,0
ENSG00000140990,NDUFB10,NDUFB10,ENSG00000140990,72.41168953,125.8899525,0.797868626,4.50E-05
ENSG00000141232,TOB1,TOB1,ENSG00000141232,60.49226352,160.4945614,1.40770186,0
ENSG00000141367,CLTC,CLTC,ENSG00000141367,119.9049729,184.1140798,0.618708464,0.000130735
ENSG00000141424,SLC39A6,SLC39A6,ENSG00000141424,93.10677568,264.0944544,1.504095941,0
ENSG00000141524,TMC6,TMC6,ENSG00000141524,36.60161204,71.67245795,0.969511641,0.000923806
ENSG00000141543,EIF4A3,EIF4A3,ENSG00000141543,43.16057449,114.8113676,1.411479519,0
ENSG00000141551,CSNK1D,CSNK1D,ENSG00000141551,45.00101259,98.64259565,1.132253298,1.55E-08
ENSG00000141552,ANAPC11,ANAPC11,ENSG00000141552,65.33047654,142.3511395,1.123625973,0
ENSG00000141579,ZNF750,ZNF750,ENSG00000141579,23.28872357,50.85378177,1.126723496,0.002834515
ENSG00000141736,ERBB2,ERBB2,ENSG00000141736,47.80637208,143.1014333,1.58176329,0
ENSG00000141738,GRB7,GRB7,ENSG00000141738,25.38878903,56.44926864,1.152763305,0.000285974
ENSG00000141741,MIEN1,MIEN1,ENSG00000141741,32.28361206,77.21851418,1.258144791,4.28E-08
ENSG00000141753,IGFBP4,IGFBP4,ENSG00000141753,46.13019055,137.8136856,1.578936006,0
ENSG00000141905,NFIC,NFIC,ENSG00000141905,49.86739948,99.6335571,0.998534761,1.68E-06
ENSG00000141959,PFKL,PFKL,ENSG00000141959,53.28207103,96.50769686,0.856993848,0.000294785
ENSG00000142089,IFITM3,IFITM3,ENSG00000142089,99.79563976,200.3623922,1.005563053,0
ENSG00000142156,COL6A1,COL6A1,ENSG00000142156,31.68425281,87.08891653,1.45872313,1.34E-12
ENSG00000142168,SOD1,SOD1,ENSG00000142168,117.166081,292.0264457,1.317544047,0
ENSG00000142230,SAE1,SAE1,ENSG00000142230,42.03895809,101.8888244,1.277197001,2.41E-11
ENSG00000142507,PSMB6,PSMB6,ENSG00000142507,61.61638128,134.4357458,1.125530934,2.68E-12
ENSG00000142541,RPL13A,RPL13A,ENSG00000142541,224.3385009,343.3082525,0.613827301,4.59E-10
ENSG00000142627,EPHA2,EPHA2,ENSG00000142627,21.15856512,52.61003689,1.314096268,2.65E-05
ENSG00000142676,RPL11,RPL11,ENSG00000142676,398.1879683,557.3702768,0.48518644,1.47E-10
ENSG00000142864,SERBP1,SERBP1,ENSG00000142864,77.68608918,138.3051331,0.832126511,1.45E-06
ENSG00000142910,TINAGL1,TINAGL1,ENSG00000142910,21.5563344,57.40309071,1.413016544,3.88E-07
ENSG00000142937,RPS8,RPS8,ENSG00000142937,391.8470891,568.0429219,0.535709165,0
ENSG00000142949,PTPRF,PTPRF,ENSG00000142949,89.81204936,160.991317,0.842001962,5.33E-08
ENSG00000143067,ZNF697,ZNF697,ENSG00000143067,17.15793667,40.36148153,1.23410306,0.004371347
ENSG00000143106,PSMA5,PSMA5,ENSG00000143106,40.63827605,85.98298719,1.081212031,2.42E-06
ENSG00000143149,ALDH9A1,ALDH9A1,ENSG00000143149,33.82671744,79.97401551,1.241368144,6.41E-08
ENSG00000143153,ATP1B1,ATP1B1,ENSG00000143153,78.7590833,171.6193437,1.123693948,0
ENSG00000143155,TIPRL,TIPRL,ENSG00000143155,25.67879057,55.35585384,1.108158633,0.000927553
ENSG00000143183,TMCO1,TMCO1,ENSG00000143183,53.2899469,129.6730177,1.282943015,0
ENSG00000143198,MGST3,MGST3,ENSG00000143198,57.65482052,151.0149321,1.389178067,0
ENSG00000143222,UFC1,UFC1,ENSG00000143222,55.36693122,103.219199,0.898614875,2.19E-05
ENSG00000143314,MRPL24,MRPL24,ENSG00000143314,26.98009171,57.22210528,1.084677325,0.000896422
ENSG00000143320,CRABP2,CRABP2,ENSG00000143320,153.4949269,544.9805185,1.828013684,0
ENSG00000143337,TOR1AIP1,TOR1AIP1,ENSG00000143337,29.71096035,61.44067998,1.048198945,0.000936345
ENSG00000143367,TUFT1,TUFT1,ENSG00000143367,62.40909755,146.2161356,1.228274272,0
ENSG00000143369,ECM1,ECM1,ENSG00000143369,35.31070549,70.71807556,1.00197337,0.000505598
ENSG00000143376,SNX27,SNX27,ENSG00000143376,30.79172188,63.03579015,1.033628642,0.000687492
ENSG00000143393,PI4KB,PI4KB,ENSG00000143393,35.86100803,85.88457915,1.259983072,5.58E-09
ENSG00000143398,PIP5K1A,PIP5K1A,ENSG00000143398,24.9777887,52.27681872,1.065525589,0.004323947
ENSG00000143416,SELENBP1,SELENBP1,ENSG00000143416,84.94859164,228.7475193,1.429094164,0
ENSG00000143420,ENSA,ENSA,ENSG00000143420,91.91844657,162.5592457,0.822539291,8.79E-08
ENSG00000143436,MRPL9,MRPL9,ENSG00000143436,29.05355232,70.52611668,1.279443034,2.19E-07
ENSG00000143537,ADAM15,ADAM15,ENSG00000143537,57.85794347,159.5775781,1.463671006,0
ENSG00000143543,JTB,JTB,ENSG00000143543,125.6483335,244.8182472,0.962319555,0
ENSG00000143556,S100A7,S100A7,ENSG00000143556,59.80953461,183.9332994,1.620735293,0
ENSG00000143569,UBAP2L,UBAP2L,ENSG00000143569,41.22778034,74.26546329,0.84907466,0.008948004
ENSG00000143570,SLC39A1,SLC39A1,ENSG00000143570,38.41825091,83.39310264,1.118136227,8.58E-07
ENSG00000143575,HAX1,HAX1,ENSG00000143575,33.66907168,84.38191664,1.325509913,5.43E-10
ENSG00000143578,CREB3L4,CREB3L4,ENSG00000143578,39.06697551,100.0777096,1.357099203,6.69E-13
ENSG00000143621,ILF2,ILF2,ENSG00000143621,80.92764252,243.33209,1.588222117,0
ENSG00000143653,SCCPDH,SCCPDH,ENSG00000143653,57.92414588,160.1774933,1.467434677,0
ENSG00000143740,SNAP47,SNAP47,ENSG00000143740,20.50680004,46.40818624,1.178276928,0.002279847
ENSG00000143742,SRP9,SRP9,ENSG00000143742,57.14000954,136.7735492,1.259216071,0
ENSG00000143748,NVL,NVL,ENSG00000143748,31.98454513,72.59394636,1.18247428,2.20E-06
ENSG00000143753,DEGS1,DEGS1,ENSG00000143753,78.76122313,245.6156703,1.640845187,0
ENSG00000143756,FBXO28,FBXO28,ENSG00000143756,23.15342706,50.26764331,1.118404303,0.002400162
ENSG00000143771,CNIH4,CNIH4,ENSG00000143771,39.89825653,91.09333226,1.191019752,7.68E-09
ENSG00000143774,GUK1,GUK1,ENSG00000143774,207.9696908,454.8504246,1.129018912,0
ENSG00000143799,PARP1,PARP1,ENSG00000143799,67.31663094,166.9229649,1.310147572,0
