1 vs. 2,ENSG00000104529,0.391391289,0.552269917,-70.97684211,70.97684211
1 vs. 2,ENSG00000198918,0.759136287,0.813491405,65.24,65.24
1 vs. 2,ENSG00000110700,0.094818916,0.201929172,-64.92842105,64.92842105
1 vs. 2,ENSG00000164919,0.649931524,0.774463529,-63.51157895,63.51157895
1 vs. 2,ENSG00000083845,0.314162492,0.457325146,-62.79157895,62.79157895
1 vs. 2,ENSG00000166091,0.037034565,0.105159875,61.90736842,61.90736842
1 vs. 2,ENSG00000101182,0.682986932,0.793368658,-59.39157895,59.39157895
1 vs. 2,ENSG00000134419,0.051937171,0.132728327,-58.22526316,58.22526316
1 vs. 2,ENSG00000105193,0.306530604,0.452865653,-52.95157895,52.95157895
1 vs. 2,ENSG00000186468,0.03317115,0.096574235,-52.69263158,52.69263158
1 vs. 2,ENSG00000229117,0.565008618,0.706260772,52.14947368,52.14947368
1 vs. 2,ENSG00000161970,0.143304942,0.264791828,-52.14736842,52.14736842
1 vs. 2,ENSG00000122406,0.077972278,0.181147717,-50.86736842,50.86736842
1 vs. 2,ENSG00000177600,0.562572167,0.706260772,-49.94947368,49.94947368
1 vs. 2,ENSG00000142168,0.68980713,0.797264522,-49.09052632,49.09052632
1 vs. 2,ENSG00000172794,8.86E-05,0.00226434,48.40210526,48.40210526
1 vs. 2,ENSG00000006576,0.134081214,0.250720969,-48.16842105,48.16842105
1 vs. 2,ENSG00000160796,0.038716745,0.107287365,-47.01052632,47.01052632
1 vs. 2,ENSG00000106153,0.75958887,0.813491405,-46.04210526,46.04210526
1 vs. 2,ENSG00000059804,0.154211763,0.277819053,-46.00210526,46.00210526
1 vs. 2,ENSG00000009307,0.656610384,0.774463529,-45.2,45.2
1 vs. 2,ENSG00000177200,0.703775881,0.805315685,-43.21894737,43.21894737
1 vs. 2,ENSG00000196182,0.663683321,0.77881206,42.65894737,42.65894737
1 vs. 2,ENSG00000113742,0.448276672,0.606491969,-40.79157895,40.79157895
1 vs. 2,ENSG00000109475,0.575814659,0.715877684,-40.08421053,40.08421053
1 vs. 2,ENSG00000197756,0.234447078,0.385163057,-39.72,39.72
1 vs. 2,ENSG00000070190,0.185130164,0.325037693,39.18105263,39.18105263
1 vs. 2,ENSG00000115268,0.151059308,0.275743181,-38.98315789,38.98315789
1 vs. 2,ENSG00000169554,0.305173332,0.452865653,-38.64631579,38.64631579
1 vs. 2,ENSG00000101745,0.633163988,0.762448782,-38.35157895,38.35157895
1 vs. 2,ENSG00000112695,0.293426828,0.449921137,-38.11789474,38.11789474
1 vs. 2,ENSG00000133606,0.731556291,0.813491405,36.74526316,36.74526316
1 vs. 2,ENSG00000171345,0.75243301,0.813491405,-36.03368421,36.03368421
1 vs. 2,ENSG00000198755,0.111703434,0.223406868,-35.93052632,35.93052632
1 vs. 2,ENSG00000122218,0.297479229,0.452865653,-33.90947368,33.90947368
1 vs. 2,ENSG00000034510,0.125045344,0.240560898,33.84421053,33.84421053
1 vs. 2,ENSG00000118705,0.231706156,0.385163057,-33.74947368,33.74947368
1 vs. 2,ENSG00000075415,0.346147935,0.497587657,-33.05894737,33.05894737
1 vs. 2,ENSG00000115956,0.11482169,0.227663697,-33.01684211,33.01684211
1 vs. 2,ENSG00000140853,0.681174878,0.793368658,-32.77684211,32.77684211
1 vs. 2,ENSG00000090382,0.26593076,0.416082141,-32.08842105,32.08842105
1 vs. 2,ENSG00000092531,0.42344304,0.583185025,-31.84421053,31.84421053
1 vs. 2,ENSG00000147684,0.398890285,0.556677692,-31.37684211,31.37684211
1 vs. 2,ENSG00000138449,0.723087199,0.813491405,31.34315789,31.34315789
1 vs. 2,ENSG00000167004,0.733420804,0.813491405,-31.12631579,31.12631579
1 vs. 2,ENSG00000041353,0.26974508,0.419198435,30.82105263,30.82105263
1 vs. 2,ENSG00000139722,0.72435304,0.813491405,-30.66526316,30.66526316
1 vs. 2,ENSG00000134668,3.89E-05,0.001118183,30.10736842,30.10736842
1 vs. 2,ENSG00000164587,0.87466923,0.927068769,-29.80210526,29.80210526
1 vs. 2,ENSG00000167642,0.009188883,0.037078785,-29.57684211,29.57684211
1 vs. 2,ENSG00000142937,0.187607395,0.32595043,-28.95157895,28.95157895
1 vs. 2,ENSG00000229807,0.303777911,0.452865653,-27.39578947,27.39578947
1 vs. 2,ENSG00000173210,0.035131287,0.101002451,26.73684211,26.73684211
1 vs. 2,ENSG00000115053,0.759087787,0.813491405,-25.64842105,25.64842105
1 vs. 2,ENSG00000196262,0.215785991,0.362268451,23.92210526,23.92210526
1 vs. 2,ENSG00000162614,2.25E-04,0.004304298,22.71368421,22.71368421
1 vs. 2,ENSG00000197956,0.747580695,0.813491405,-22.13052632,22.13052632
1 vs. 2,ENSG00000140022,0.001438508,0.0106728,21.89684211,21.89684211
